['p12', '00:27:05', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '4', '-1', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '3', '-1', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '5', '-2', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '9', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '7', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:08', 'pan', 'geo-0-1', '12', '3', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '25', '5', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '29', '9', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '30', '6', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '18', '5', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '10', '2', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '7', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:09', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '-1', '2', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '-5', '5', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '-2', '5', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '2', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:16', 'pan', 'geo-0-1', '0', '1', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-6', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-4', '1', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-2', '1', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-4', '1', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-5', '4', 'Exploration']
['p12', '00:27:17', 'pan', 'geo-0-1', '-6', '9', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-4', '5', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-2', '2', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-7', '4', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-4', '2', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-6', '1', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-4', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-5', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-1', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '0', '-1', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-1', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-2', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-3', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-6', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-3', '-6', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-5', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-3', '-5', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-3', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '-1', '-2', 'Exploration']
['p12', '00:27:18', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-2', '-1', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-6', '-2', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-8', '-2', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-18', '-3', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-21', '-3', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-27', '-6', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-19', '-4', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-12', '-3', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-7', '-1', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-1', '-1', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-3', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-2', '0', 'Exploration']
['p12', '00:27:19', 'pan', 'geo-0-1', '-1', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '3', '-1', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '6', '-2', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '13', '-2', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '16', '-1', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '14', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '13', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '8', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:20', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '4', '-2', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:21', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:23', 'pan', 'geo-0-1', '2', '-1', 'Exploration']
['p12', '00:27:23', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:23', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:23', 'pan', 'geo-0-1', '5', '-1', 'Exploration']
['p12', '00:27:24', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:24', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:24', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:24', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:25', 'pan', 'geo-0-1', '13', '194', 'Exploration']
['p12', '00:27:25', 'zoom', 'geo-0-1', '3', 'Exploration']
['p12', '00:27:25', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:25', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p12', '00:27:25', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p12', '00:27:25', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p12', '00:27:25', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x4-0-23-0', 'Exploration']
['p12', '00:27:25', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x2-0-11-0', 'Exploration']
['p12', '00:27:25', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x2-0-11-0', 'Exploration']
['p12', '00:27:25', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x3-0-30-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x2-0-11-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x3-0-30-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x3-0-30-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-768-1023-3x1-256-511-3x5-0-29-1', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x5-0-29-1', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x5-0-29-1', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-1536-1791-4x1-512-767-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-1536-1791-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-1792-2047-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-1792-2047-4x1-512-767-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-0-255-4x1-512-767-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-0-255-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-256-511-4x1-512-767-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-512-767-4x1-512-767-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-256-511-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-768-1023-4x1-512-767-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-512-767-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'tile cached', 'undefined', '0-768-1023-4x1-768-1023-4x4-0-23-0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '3', '-1', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '7', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '9', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:26', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:27', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '1', '-1', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:28', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:29', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:29', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:29', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:31', 'pan', 'geo-0-1', '-3', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-9', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-13', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-16', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-19', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-15', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-11', '-1', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-8', '1', 'Question / Hypothesis']
['p12', '00:27:31', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '-6', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p12', '00:27:31', 'clear', 'undefined', 'undefined', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '-7', '0', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '-15', '0', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '-20', '1', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x2-0-11-0', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '-152', '0', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x3-0-30-0', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x5-0-29-1', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1280-1535-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1280-1535-4x1-768-1023-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '-43', '0', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '-7', '0', 'Question / Hypothesis']
['p12', '00:27:32', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1024-1279-4x1-768-1023-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:32', 'tile cached', 'undefined', '0-1024-1279-4x1-512-767-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:35', 'pan', 'geo-0-1', '-221', '388', 'Question / Hypothesis']
['p12', '00:27:36', 'zoom', 'geo-0-1', '4', 'Question / Hypothesis']
['p12', '00:27:36', 'pan', 'geo-0-1', '0', '0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-4x1-1280-1535-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-4x1-1280-1535-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-4x1-1536-1791-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1024-1279-4x1-1280-1535-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-768-1023-4x1-1536-1791-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1280-1535-4x1-1280-1535-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1024-1279-4x1-1536-1791-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1536-1791-4x1-1280-1535-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1280-1535-4x1-1536-1791-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1792-2047-4x1-1280-1535-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1536-1791-4x1-1536-1791-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-1792-2047-4x1-1536-1791-4x4-0-23-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x2-0-11-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-256-511-3x1-512-767-3x2-0-11-0', 'Question / Hypothesis']
['p12', '00:27:36', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x2-0-11-0', 'Question / Hypothesis']
